Date,Open,High,Low,Close
24-12-2012,160.88,160.960007,160.470001,160.619995
26-12-2012,161.36,161.490005,160.639999,160.779999
27-12-2012,160.23,161.309998,160.050003,161.160004
28-12-2012,160.94,160.970001,160.149994,160.539993
31-12-2012,160.90,162.75,160.770004,162.020004
02-01-2013,163.49,164.139999,163.139999,163.169998
03-01-2013,162.48,162.880005,160.830002,161.199997
04-01-2013,159.52,160.630005,158.889999,160.440002
07-01-2013,159.36,159.960007,159.149994,159.429993
08-01-2013,160.46,160.990005,160.009995,160.559998
09-01-2013,160.77,160.830002,159.899994,160.490005
10-01-2013,161.61,162.559998,161.610001,161.979996
11-01-2013,161.86,161.899994,160.110001,161.059998
14-01-2013,161.88,161.970001,161.130005,161.539993
15-01-2013,162.80,163.169998,162.350006,162.559998
16-01-2013,162.42,163.029999,162.149994,162.649994
17-01-2013,161.94,164.399994,161.830002,163.350006
18-01-2013,163.95,163.970001,163.020004,163.089996
22-01-2013,163.48,164.220001,163.369995,163.669998
23-01-2013,163.92,163.949997,163,163.210007
24-01-2013,161.98,162.270004,161.179993,161.419998
25-01-2013,160.56,161.039993,160.309998,160.649994
28-01-2013,160.24,160.729996,160.020004,160.289993
29-01-2013,161.01,161.309998,160.690002,160.990005
30-01-2013,162.68,163.039993,162.029999,162.190002
31-01-2013,161.62,161.809998,160.470001,161.199997
01-02-2013,162.66,162.770004,160.869995,161.449997
04-02-2013,161.19,162.419998,161.149994,162
05-02-2013,162.75,162.789993,161.330002,161.960007
06-02-2013,162.13,162.630005,161.990005,162.389999
07-02-2013,161.24,162.960007,161.130005,161.839996
08-02-2013,161.46,162.020004,161.199997,161.570007
11-02-2013,159.78,159.979996,159.25,159.699997
12-02-2013,159.35,160.050003,158.880005,159.889999
13-02-2013,159.60,159.639999,158.770004,159.050003
14-02-2013,159.31,159.649994,158.039993,158.350006
15-02-2013,156.42,156.580002,154.559998,155.759995
19-02-2013,155.80,155.839996,154.929993,155.330002
20-02-2013,153.90,153.929993,150.839996,151.440002
21-02-2013,152.00,153.410004,151.899994,152.619995
22-02-2013,152.26,152.990005,151.929993,152.970001
25-02-2013,153.52,154.559998,153.309998,154.339996
26-02-2013,154.39,156.800003,153.320007,156.220001
27-02-2013,155.46,155.600006,154.080002,154.570007
28-02-2013,154.09,154.160004,152.389999,153
01-03-2013,153.16,153.610001,152.139999,152.440002
04-03-2013,152.45,152.740005,151.869995,152.300003
05-03-2013,153.10,153.389999,152.110001,152.380005
06-03-2013,152.17,153.380005,151.649994,153.229996
07-03-2013,153.02,153.210007,152.399994,152.690002
08-03-2013,151.61,153.289993,151.399994,152.710007
11-03-2013,152.82,153.059998,152.649994,152.990005
12-03-2013,154.07,154.690002,153.899994,154.190002
13-03-2013,154.26,154.600006,153.419998,153.660004
14-03-2013,153.02,154.169998,153.009995,153.679993
15-03-2013,154.12,154.720001,153.970001,154
18-03-2013,155.70,155.929993,155,155.380005
19-03-2013,155.22,156.339996,155.100006,156.080002
20-03-2013,155.53,155.830002,154.880005,155.369995
21-03-2013,156.17,156.429993,155.880005,156.25
22-03-2013,155.45,155.990005,155.419998,155.550003
25-03-2013,154.71,155.570007,154.360001,155.240005
26-03-2013,154.47,154.910004,154.279999,154.720001
27-03-2013,154.67,155.619995,154.509995,155.360001
28-03-2013,154.50,154.800003,154.220001,154.449997
01-04-2013,154.57,154.929993,154.300003,154.669998
02-04-2013,153.09,153.309998,152.259995,152.429993
03-04-2013,152.02,152.529999,149.919998,150.729996
04-04-2013,149.65,150.600006,149.440002,150.289993
05-04-2013,151.54,152.960007,151.070007,152.809998
08-04-2013,152.39,152.589996,151.600006,152.160004
09-04-2013,152.32,153.850006,152.279999,153.339996
10-04-2013,152.67,152.710007,150.580002,150.75
11-04-2013,150.76,151.710007,150.630005,151.050003
12-04-2013,148.65,148.850006,143.429993,143.949997
15-04-2013,136.00,136.75,130.509995,131.309998
01-05-2013,140.59,141.550003,139.300003,141.110001
02-05-2013,142.00,142.470001,141.639999,141.919998
